ORGAN CODE,ORGAN NAME,SUPERIOR ORGAN CODE,SUPERIOR ORGAN NAME
22000,"ministerio da agricultura, pecuaria e abastecimento",22000,"ministerio da agricultura, pecuaria e abastecimento"
22202,empresa brasileira de pesquisa agropecuaria,22202,empresa brasileira de pesquisa agropecuaria
22211,companhia nacional de abastecimento,22000,"ministerio da agricultura, pecuaria e abastecimento"
37000,controladoria geral da uniao,37000,controladoria geral da uniao
44208,servico florestal brasileiro,22000,"ministerio da agricultura, pecuaria e abastecimento"
13100,centrais de abastecimento de minas gerais,13100,centrais de abastecimento de minas gerais
22201,instituto nacional de colonizacao e reforma agraria,49000,ministerio do dessenvolvimento agrario e agricultura. familiar
49000,ministerio do desenvolvimento agrario e agricultura familiar,49000,ministerio do dessenvolvimento agrario e agricultura. familiar
29000,ministerio da infraestrutura,29000,ministerio da infraestrutura
20113,"ministerio do planejamento, desenvolvimento e gestao",20113,"ministerio do planejamento, desenvolvimento e gestao"
25000,ministerio da economia,25000,ministerio da economia
25915,fundo constitucional do distrito federal,25000,ministerio da economia
30000,ministerio da justica,30000,ministerio da justica
25201,banco central do brasil-orc.fiscal/seg.social,25000,ministerio da economia
25281,banco do brasil s/a,25000,ministerio da economia
22203,companhia de desenvolvimento do vale do sao francisco,53000,ministerio do desenvolvimento regional
25282,banco do nordeste do brasil,25000,ministerio da economia
20701,instituto brasileiro do meio ambiente e dos recursos naturais renovaveis,44000,ministerio do meio ambiente
20603,superintendencia da zona franca de manaus,28000,"ministerio do desenvolvimento, industria e comercio exterior"
71902,fundo soberano do brasil,25000,ministerio da economia
34000,ministerio publico da uniao,34000,ministerio publico da uniao
30801,departamento de policia federal/mj,30000,ministerio da justica
30108,departamento de policia federal,30000,ministerio da justica
22500,cia.de entrepostos e armazens ger.de s.paulo,22500,cia de entrepostos e armazens ger de s.paulo
34801,ministerio publico federal  mpf,34000,ministerio publico da uniao
29101,defensoria publica da uniao,29101,defensoria publica da uniao
30913,fundo nacional para a crianca e o adolescente,30000,ministerio da justica
30914,fundo nacional do idoso - df,30000,ministerio da justica
25211,casa da moeda do brasil,25000,ministerio da economia
30909,fundo p/apar.e operac.ativ.fim.pol.federal,30000,ministerio da justica
32396,agencia nacional de mineracao,32396,agencia nacional de mineracao
30907,fundo penitenciario nacional,30000,ministerio da justica
45283,instituto de resseguros do brasil,25000,ministerio da economia
53000,ministerio do desenvolvimento regional,53000,ministerio do desenvolvimento regional
25301,empresa gestora de ativos,25000,ministerio da economia
44207,instituto chico mendes de conser.da biodiversidade,44000,ministerio do meio ambiente
44205,agencia nacional de aguas,44000,ministerio do meio ambiente
44444,transferencia voluntaria - portal/siconv,25000,ministerio da economia
40000,ministerio do trabalho e previdencia social,40000,ministerio do trabalho e previdencia social
38546,conselho regional de medicina - mt,38546,conselho regional de medicina - mt
38822,conselho estadual de educacao,38822,conselho estadual de educacao
25207,servico federal de processamento de dados,25000,ministerio da economia
91000,entidades que utilizam conta unica - tct,91000,entidades que utilizam conta unica - tct
37904,fundo do regime geral da previdencia social,37904,fundo do regime geral da previdencia social
53207,superintendencia do desenvolvimento do centro oeste,53000,ministerio do desenvolvimento regional
53203,superintendencia do desenvolvimento do nordeste,53000,ministerio do desenvolvimento regional
74919,fundo de desenvolvimento do centro-oeste,74919,fundo de desenvolvimento do centro-oeste
55000,ministerio da cidadania,55000,ministerio da cidadania
59000,conselho nacional do ministerio publico,59000,conselho nacional do ministerio publico
38770,conselgo regional de engenharia e agronomia,38770,conselgo regional de engenharia e agronomia
57000,"min. das mulheres, da igualdade e dos dh",57000,"ministerio das mulheres, da igualdade e dos direitos humanos"
38952,conselho reg. de prof.de rel. publ 6a regiao,38952,conselho reg. de prof. de rel. publ 6a regiao
39005,companhia docas do para,39005,companhia docas do para
38850,fund.de previd.compl.serv.pub.fed.poder exec.,38850,fund.de previd.compl.serv.pub.fed.poder exec.
39007,companhia docas do rio grande do norte,39007,companhia docas do rio grande do norte
81000,minsterio dos direitos humanos,81000,minsterio dos direitos humanos
82000,ministerio da seguranca publica,82000,ministerio da seguranca publica
20117,fundo nacional antidrogas,30000,ministerio da justica
30912,fundo nacional antidrogas,30000,ministerio da justica
